questions,answers
What is FSA?,"Non-Banking Financial Services Authority (FSA) is created to regulate and supervise the non-banking financial sector in Cambodia. It independently preforms its functions using the integration of non-bank financial sector management and control mechanisms on organizations such as: General Secretariat, Insurance Regulator of Cambodia, Securities Regulator of Cambodia, Social Security Regulator, Trust Regulator, Accounting and Audit Regulator and Real Estate and Pawnshop Business Regulator in order to strengthen and ensure the effectiveness of external management, control and development of the non-bank financial sector, including the promotion of development and use of financial technology in the non-bank financial sector in the Kingdom of Cambodia."
What is Non-Bank Financial services Authority?,"Non-Banking Financial Services Authority (FSA) is created to regulate and supervise the non-banking financial sector in Cambodia. It independently preforms its functions using the integration of non-bank financial sector management and control mechanisms on organizations such as: General Secretariat, Insurance Regulator of Cambodia, Securities Regulator of Cambodia, Social Security Regulator, Trust Regulator, Accounting and Audit Regulator and Real Estate and Pawnshop Business Regulator in order to strengthen and ensure the effectiveness of external management, control and development of the non-bank financial sector, including the promotion of development and use of financial technology in the non-bank financial sector in the Kingdom of Cambodia."
What are the roles or mandate of FSA?,"The Authority is established to: (i) enhance and ensure the effective implementation of regulations relating to the non-banking financial sector; (ii) monitor the development in the non-banking financial sector; and (iii) promote the development and utilization of financial technology in the non-banking financial sector. The non-banking financial sector includes, but is not limited to, insurance and private pension, securities, social security, trust, accounting and audit, real estate, pawnshop and transfer as security.

The scope and authority as regulator of the Ministry of Economy and Finance (“MEF”) in relation to non-banking sector as well as those as regulator of the Securities and Exchange Commission of Cambodia (""SECC"") and the National Accounting Council are to be transferred to and consolidated within the Authority."
What are the duties of FSA?,"The Authority is established to: (i) enhance and ensure the effective implementation of regulations relating to the non-banking financial sector; (ii) monitor the development in the non-banking financial sector; and (iii) promote the development and utilization of financial technology in the non-banking financial sector. The non-banking financial sector includes, but is not limited to, insurance and private pension, securities, social security, trust, accounting and audit, real estate, pawnshop and transfer as security.

The scope and authority as regulator of the Ministry of Economy and Finance (“MEF”) in relation to non-banking sector as well as those as regulator of the Securities and Exchange Commission of Cambodia (""SECC"") and the National Accounting Council are to be transferred to and consolidated within the Authority."
Who are in charge of FSA?,"FSA is governed by the Non-Bank Financial Services Authority council with the following composition: H>E.Akka Pundit Sopheacha AUN PORNMONIROTH as a Chirman, H.E. ROS SEILAVA as Vice-chairman."
Who is the leader of FSA?,"FSA is governed by the Non-Bank Financial Services Authority council with the following composition: H>E.Akka Pundit Sopheacha AUN PORNMONIROTH as a Chirman, H.E. ROS SEILAVA as Vice-chairman."
What is fsa's goal?,"Non-Bank Financial services Authority's goal is to integrate the management and supervision mechanism on non-bank financial sector such as insurance and private pension, securities and exchange, social securities, trust, accounting and auditing, real estate, pawnshop, and security as transfer sectors; in order to strengthen and guarantee the effectiveness of scrutiny and development of non-bank financial sector, as well as the advancement and use of financial technology in non-bank financial sector in Cambodia."
What are the purpose of FSA?,"Non-Bank Financial services Authority's goal is to integrate the management and supervision mechanism on non-bank financial sector such as insurance and private pension, securities and exchange, social securities, trust, accounting and auditing, real estate, pawnshop, and security as transfer sectors; in order to strengthen and guarantee the effectiveness of scrutiny and development of non-bank financial sector, as well as the advancement and use of financial technology in non-bank financial sector in Cambodia."
What is FSA establishment goal?,"Non-Bank Financial services Authority's goal is to integrate the management and supervision mechanism on non-bank financial sector such as insurance and private pension, securities and exchange, social securities, trust, accounting and auditing, real estate, pawnshop, and security as transfer sectors; in order to strengthen and guarantee the effectiveness of scrutiny and development of non-bank financial sector, as well as the advancement and use of financial technology in non-bank financial sector in Cambodia."
What are the roles of FSA?,"The role of the Non-Bank Financial services Authority(FSA) primarily act as a legislator overseeing various financial sectors, including insurance, private pension, securities, and more. The FSA initiates policies and strategies to develop the non-bank financial sector and financial technology in collaboration with the government. They also supervise and ensure the implementation of action plans and strategic initiatives for non-bank financial sector development. Additionally, the FSA works to enhance market confidence, support investors, and prevent financial crime within the non-bank financial sector. They contribute to maintaining and strengthening the overall stability of the financial sector and encourage financial innovation."
What are the responsibility or task of FSA?,"The role of the Non-Bank Financial services Authority(FSA) primarily act as a legislator overseeing various financial sectors, including insurance, private pension, securities, and more. The FSA initiates policies and strategies to develop the non-bank financial sector and financial technology in collaboration with the government. They also supervise and ensure the implementation of action plans and strategic initiatives for non-bank financial sector development. Additionally, the FSA works to enhance market confidence, support investors, and prevent financial crime within the non-bank financial sector. They contribute to maintaining and strengthening the overall stability of the financial sector and encourage financial innovation."
What are the roles and duties of FSA?,"The role of the Non-Bank Financial services Authority(FSA) primarily act as a legislator overseeing various financial sectors, including insurance, private pension, securities, and more. The FSA initiates policies and strategies to develop the non-bank financial sector and financial technology in collaboration with the government. They also supervise and ensure the implementation of action plans and strategic initiatives for non-bank financial sector development. Additionally, the FSA works to enhance market confidence, support investors, and prevent financial crime within the non-bank financial sector. They contribute to maintaining and strengthening the overall stability of the financial sector and encourage financial innovation."
What are the roles and duties of the FSA Council?,"The roles of the Financial Services Authority (FSA) are listed below:

1. Policy and Strategy Development:
   - Initiate policies and strategies for non-bank financial sector development.
   - Explore technological advancements in the non-bank financial sector.

2. Implementation Planning:
   - Propose strategic and action plans to execute development policies and strategies.
   - Monitor the implementation of these plans.

3. Regulatory Decisions:
   - Determine conditions, procedures, and rules for licenses, certificates, approvals, and registrations in the non-bank financial sector.
   - Prepare Prakas (regulations), Circulars, and Decisions related to sector management.

4. Compliance and Oversight:
   - Promote adherence to legal provisions.
   - Ensure subordinated regulators fulfill their roles and duties.

5. Budget and Internal Rules:
   - Approve budget plans for the Authority and its subordinates.
   - Make decisions regarding internal rules within the Authority."
What are the subordinated entities of the FSA?,"There are 7 Subordinated entities of the FSA such as: 1. General Secretariat, 2. Insurance Regulator of Cambodia, 3. Insurance Regulator of Cambodia, 4. Insurance Regulator of Cambodia, 5. Trust Regulator, 6. Accounting and Audit Regulator, 7. Real Estate and Pawnshop Business Regulator. Additionally, the Authority is planing to create its own Internal Audit Unit."
Describe each organization of their respective duties and responsibilities under the FSA,"1. General Secretariat:
   - The General Secretariat functions as the Officer of the Authority.

2. Insurance Regulator of Cambodia:
   - The Insurance Regulator of Cambodia is responsible for executing the duties of the Ministry of Economy and Finance (MEF) as outlined in the Law on Insurance dated 4 August 2014, along with other relevant laws and regulations applicable to the insurance sector.

3. Securities Regulator of Cambodia:
   - The Securities and Exchange Commission of Cambodia (SECC) will be transformed into the Securities Regulator of Cambodia, carrying out the duties specified in the Law on the Issuance and Trading of Non-Government Securities promulgated on 19 October 2007, and other pertinent laws and regulations pertaining to the securities sector.

4. Social Security Regulator:
   - The General Secretariat for the National Social Protection Council will transform into the Social Security Regulator in accordance with the Law. It will assume the responsibilities outlined in the Law on National Social Security Fund promulgated on 2 November 2019, and other applicable laws and regulations related to the social security sector.

5. Trust Regulator:
   - The Trust Regulator will undertake the duties of the Ministry of Economy and Finance (MEF) as specified in the Law on Trust promulgated on 2 January 2019, and other relevant laws and regulations applicable to the trust sector.

6. Accounting and Audit Regulator:
   - The National Accounting Council will be transformed into the Accounting and Audit Regulator in accordance with the Law. It will now perform the duties of the National Accounting Council as outlined in the Law on Accounting and Auditing promulgated on 11 April 2016, and other relevant laws and regulations related to accounting and audit.

7. Real Estate and Pawnshop Business Regulator:
   - The Real Estate and Pawnshop Business Regulator will carry out the duties and obligations specified in Article 5 of the Law on Financial Management for the Year 2007 promulgated on 29 December 2006, and other relevant laws and regulations related to real estate, pawnshop, and transfer as a security sector.
"
What are the primary responsibilities of the General Secretariat?,The General Secretariat functions as the Officer of the Authority.
How does it contribute to the effective functioning of the organization?,"Contribution to Effective Functioning:

1. Operational Support:
   - Ensures smooth day-to-day operations, providing the necessary support for the overall functioning of the Financial Services Authority (FSA).

2. Policy Formulation and Implementation:
   - Coordinates the development and implementation of policies, particularly focusing on the non-bank sector, fostering regulatory clarity and stability.

3. Strategy Development and Implementation:
   - Develops strategic plans for the non-bank financial sector, facilitating the regulatory process and monitoring the effectiveness of policies.

4. Regulatory Approval:
   - Facilitates the approval process for regulations, ensuring compliance and effectiveness in managing the non-bank financial sector.

5. Coordination and Administrative Support:
   - Provides essential coordination and administrative support for regulatory bodies and taskforces, enhancing collaboration and efficiency.

6. International Cooperation:
   - Coordinates regional and international collaborations, fostering global partnerships and aligning the FSA with international best practices.

7. Advisory Role:
   - Offers guidance to the FSA Council on regulatory disputes and technical issues, contributing to informed decision-making.

8. Information and Data Management:
   - Manages information and data systems, enabling informed decision-making through research, analysis, and documentation.

9. Budget Coordination:
   - Coordinates the budget process, ensuring financial transparency, and efficient allocation of resources for the FSA's activities.

10. Anti-Money Laundering and Terrorist Financing:
    - Monitors and coordinates actions against money laundering and terrorist financing, safeguarding the integrity of the non-bank financial sector.

11. Training and Capacity Building:
    - Collaborates with regulators to enhance the skills of FSA officials, contributing to a competent and well-trained workforce.

12. Public Awareness:
    - Disseminates information to raise public awareness about non-bank financial sector policies and strategies, promoting transparency and understanding.

13. General Secretariat Management:
    - Manages financial and staff aspects of the General Secretariat, ensuring organizational efficiency and effectiveness.

14. Human Resources and Budgeting:
    - Coordinates human resources and budgeting, optimizing the allocation of resources for the FSA's objectives.

15. Asset Management:
    - Manages state assets under the FSA, ensuring proper oversight and utilization of state property.

16. Additional Duties:
    - Performs additional duties as directed by the Minister of Ministry of Economy and Finance and Chairman of FSA Council, adapting to evolving needs and priorities."
What should general secretariat do under the FSA?,"The General Secretariat is responsible for a wide range of functions, including operational support, policy formulation, regulatory approval, coordination, international cooperation, advisory roles, information management, budget coordination, AML and terrorist financing actions, training, public awareness, general secretariat management, human resources, budgeting, and asset management. Additionally, it must carry out any other duties assigned by the Minister of Ministry of Economy and Finance and Chairman of FSA Council. These responsibilities collectively contribute to the effective functioning and development of the Financial Services Authority."
What is IRC?,"The Insurance Regulator of Cambodia (IRC) is the government agency responsible for overseeing the insurance industry in the country. It is tasked with ensuring the stability and sustainability of the insurance market in Cambodia. The IRC is responsible for issuing licenses to insurance companies, monitoring their operations, and enforcing regulations and guidelines related to the industry. Additionally, the IRC provides guidance and advice to policyholders and insurance companies on insurance-related matters."
What is the Insurance Regulator of Cambodia?,"The Insurance Regulator of Cambodia (IRC) is the government agency responsible for overseeing the insurance industry in the country. It is tasked with ensuring the stability and sustainability of the insurance market in Cambodia. The IRC is responsible for issuing licenses to insurance companies, monitoring their operations, and enforcing regulations and guidelines related to the industry. Additionally, the IRC provides guidance and advice to policyholders and insurance companies on insurance-related matters."
What does IRC do?,"The IRC is responsible for issuing licenses to insurance companies, monitoring their operations, and enforcing regulations and guidelines related to the industry. Additionally, the IRC provides guidance and advice to policyholders and insurance companies on insurance-related matters."
What is the responsibility of IRC?,"The IRC is responsible for issuing licenses to insurance companies, monitoring their operations, and enforcing regulations and guidelines related to the industry. Additionally, the IRC provides guidance and advice to policyholders and insurance companies on insurance-related matters."
